date,hors,u,v,ws,wd
2009070100,45,3.62,-1.5,3.92,112.53
2009070100,46,3.26,-1.88,3.77,119.96
2009070100,47,2.85,-2.22,3.61,127.96
2009070100,48,2.36,-2.35,3.33,134.93
2009070112,1,3.36,-0.9,3.48,105.02
2009070112,2,3.29,-1.05,3.45,107.7
2009070112,3,3.37,-1,3.51,106.52
2009070112,4,3.53,-0.83,3.63,103.17
2009070112,5,3.68,-0.64,3.73,99.81
2009070112,6,3.72,-0.54,3.76,98.26
2009070112,7,3.59,-0.62,3.64,99.74
2009070112,8,3.27,-0.79,3.37,103.61
2009070112,9,2.8,-0.96,2.96,108.99
2009070112,10,2.2,-1.05,2.44,115.54
2009070112,11,1.52,-1.09,1.87,125.52
2009070112,12,0.81,-1.12,1.38,144.12
2009070112,13,0.13,-1.18,1.19,173.71
2009070112,14,-0.41,-1.19,1.26,199.1
2009070112,15,-0.7,-1.05,1.26,213.89
2009070112,16,-0.69,-0.7,0.98,224.71
2009070112,17,-0.55,-0.29,0.63,242.33
2009070112,18,-0.54,-0.03,0.54,266.39
2009070112,19,-0.83,-0.06,0.83,265.65
2009070112,20,-1.32,-0.23,1.34,260.05
2009070112,21,-1.86,-0.32,1.89,260.12
2009070112,22,-2.28,-0.19,2.28,265.19
2009070112,23,-2.4,0.04,2.4,270.92
2009070112,24,-2.04,0.17,2.05,274.79
2009070112,25,-1.11,0.06,1.11,273.17
2009070112,26,0.17,-0.24,0.29,145.52
2009070112,27,1.47,-0.64,1.61,113.56
2009070112,28,2.55,-1.06,2.76,112.59
2009070112,29,3.31,-1.48,3.62,114.13
2009070112,30,3.72,-1.91,4.18,117.18
2009070112,31,3.78,-2.33,4.44,121.68
2009070112,32,3.6,-2.67,4.49,126.58
2009070112,33,3.32,-2.83,4.36,130.52
2009070112,34,3.03,-2.74,4.08,132.13
2009070112,35,2.73,-2.4,3.64,131.37
2009070112,36,2.37,-1.86,3.01,128.04
2009070112,37,1.95,-1.16,2.27,120.69
2009070112,38,1.62,-0.49,1.69,106.88
2009070112,39,1.54,-0.05,1.54,91.93
2009070112,40,1.84,0.01,1.84,89.63
2009070112,41,2.4,-0.21,2.41,94.99
2009070112,42,3.02,-0.57,3.08,100.62
2009070112,43,3.57,-0.93,3.68,104.6
2009070112,44,3.98,-1.24,4.17,107.29
2009070112,45,4.26,-1.46,4.5,108.93
2009070112,46,4.4,-1.58,4.68,109.69
2009070112,47,4.48,-1.65,4.78,110.26
2009070112,48,4.58,-1.79,4.92,111.34
2009070200,1,0.27,-1.36,1.39,168.73
2009070200,2,-0.12,-1.33,1.33,185.11
2009070200,3,-0.19,-1.25,1.27,188.54
2009070200,4,-0.06,-1.15,1.15,182.96
2009070200,5,0.09,-1.04,1.04,175.2
2009070200,6,0.06,-0.93,0.93,176.46
2009070200,7,-0.27,-0.83,0.88,198.07
2009070200,8,-0.74,-0.75,1.06,224.51
2009070200,9,-1.11,-0.68,1.3,238.75
2009070200,10,-1.21,-0.61,1.35,243.28
2009070200,11,-1.02,-0.6,1.19,239.6
2009070200,12,-0.61,-0.72,0.94,220.41
2009070200,13,-0.02,-1,1,180.96
2009070200,14,0.7,-1.4,1.57,153.57
2009070200,15,1.47,-1.87,2.38,141.8
2009070200,16,2.24,-2.34,3.24,136.22
2009070200,17,2.9,-2.74,3.99,133.37
2009070200,18,3.36,-3.03,4.53,132.04
2009070200,19,3.54,-3.16,4.74,131.75
2009070200,20,3.48,-3.16,4.7,132.22
2009070200,21,3.26,-3.08,4.48,133.38
2009070200,22,2.94,-2.95,4.17,135.08
2009070200,23,2.59,-2.71,3.76,136.29
2009070200,24,2.27,-2.29,3.23,135.23
2009070200,25,2.04,-1.67,2.64,129.16
2009070200,26,1.98,-1.03,2.23,117.56
2009070200,27,2.16,-0.66,2.25,106.92
2009070200,28,2.61,-0.71,2.7,105.23
2009070200,29,3.17,-1.03,3.33,108.08
2009070200,30,3.64,-1.39,3.89,110.88
2009070200,31,3.86,-1.58,4.17,112.32
2009070200,32,3.9,-1.68,4.25,113.28
2009070200,33,3.9,-1.79,4.29,114.67
2009070200,34,3.95,-1.99,4.42,116.78
2009070200,35,4.08,-2.21,4.64,118.4
2009070200,36,4.31,-2.32,4.89,118.26
2009070200,37,4.62,-2.25,5.14,115.95
2009070200,38,4.98,-2.14,5.41,113.23
2009070200,39,5.31,-2.15,5.73,112.03
2009070200,40,5.56,-2.41,6.06,113.39
2009070200,41,5.69,-2.79,6.34,116.16
2009070200,42,5.63,-3.14,6.45,119.15
2009070200,43,5.38,-3.32,6.32,121.7
2009070200,44,5.05,-3.4,6.09,124
2009070200,45,4.79,-3.5,5.93,126.17
2009070200,46,4.71,-3.69,5.98,128.1
2009070200,47,4.71,-3.91,6.12,129.72
2009070200,48,4.64,-4.05,6.16,131.17
2009070212,1,0.37,-1.22,1.28,163.21
2009070212,2,1.18,-2.01,2.33,149.51
2009070212,3,1.94,-2.36,3.06,140.56
2009070212,4,2.62,-2.41,3.57,132.62
2009070212,5,3.18,-2.33,3.94,126.19
2009070212,6,3.56,-2.27,4.22,122.53
2009070212,7,3.74,-2.37,4.43,122.41
2009070212,8,3.74,-2.55,4.53,124.31
2009070212,9,3.62,-2.68,4.5,126.53
2009070212,10,3.41,-2.64,4.32,127.78
2009070212,11,3.17,-2.43,4,127.48
2009070212,12,2.96,-2.06,3.6,124.81
2009070212,13,2.82,-1.56,3.22,118.89
2009070212,14,2.81,-1.1,3.02,111.33
2009070212,15,2.98,-0.88,3.11,106.38
2009070212,16,3.35,-1.01,3.5,106.83
2009070212,17,3.79,-1.31,4,109.04
2009070212,18,4.13,-1.48,4.39,109.72
2009070212,19,4.26,-1.35,4.47,107.65
2009070212,20,4.22,-1.15,4.37,105.22
2009070212,21,4.12,-1.18,4.28,106
2009070212,22,4.03,-1.67,4.36,112.45
2009070212,23,3.99,-2.39,4.65,120.92
2009070212,24,4,-3.03,5.02,127.15
2009070212,25,4.08,-3.35,5.28,129.37
2009070212,26,4.26,-3.41,5.45,128.7
2009070212,27,4.56,-3.36,5.66,126.38
2009070212,28,4.98,-3.32,5.98,123.67
2009070212,29,5.39,-3.33,6.34,121.76
2009070212,30,5.63,-3.45,6.6,121.48
2009070212,31,5.59,-3.66,6.68,123.26
2009070212,32,5.33,-3.93,6.62,126.43
2009070212,33,4.95,-4.17,6.48,130.09
2009070212,34,4.57,-4.32,6.29,133.35
2009070212,35,4.26,-4.34,6.08,135.56
2009070212,36,4.09,-4.24,5.89,136.05
2009070212,37,4.09,-4.01,5.73,134.43
2009070212,38,4.15,-3.72,5.57,131.9
2009070212,39,4.09,-3.45,5.35,130.19
2009070212,40,3.79,-3.27,5.01,130.71
2009070212,41,3.33,-3.12,4.56,133.08
2009070212,42,2.81,-2.94,4.07,136.28
2009070212,43,2.34,-2.7,3.58,139.08
2009070212,44,2.01,-2.46,3.17,140.71
2009070212,45,1.9,-2.29,2.98,140.3
2009070212,46,2.08,-2.28,3.09,137.6
2009070212,47,2.49,-2.42,3.47,134.14
2009070212,48,3.04,-2.68,4.06,131.41
2009070300,1,2.95,-1.41,3.27,115.47
2009070300,2,3.01,-0.87,3.13,106.2
2009070300,3,3.28,-0.96,3.42,106.32
2009070300,4,3.68,-1.46,3.96,111.59
2009070300,5,4.1,-2.06,4.59,116.72
2009070300,6,4.41,-2.45,5.04,119.09
2009070300,7,4.52,-2.41,5.12,118.09
2009070300,8,4.5,-2.21,5.01,116.17
2009070300,9,4.44,-2.23,4.97,116.65
2009070300,10,4.42,-2.73,5.19,121.68
2009070300,11,4.42,-3.49,5.63,128.3
2009070300,12,4.39,-4.18,6.06,133.55
2009070300,13,4.34,-4.53,6.27,136.27
2009070300,14,4.34,-4.6,6.32,136.67
2009070300,15,4.52,-4.5,6.38,134.85
2009070300,16,4.96,-4.35,6.59,131.27
2009070300,17,5.47,-4.23,6.92,127.75
2009070300,18,5.83,-4.23,7.2,125.94
2009070300,19,5.88,-4.37,7.33,126.64
2009070300,20,5.67,-4.56,7.28,128.78
2009070300,21,5.34,-4.64,7.08,131
2009070300,22,4.99,-4.53,6.74,132.24
2009070300,23,4.65,-4.29,6.33,132.7
2009070300,24,4.35,-4.05,5.94,133
2009070300,25,4.08,-3.89,5.64,133.65
2009070300,26,3.83,-3.73,5.35,134.26
2009070300,27,3.56,-3.45,4.96,134.09
2009070300,28,3.27,-2.98,4.42,132.43
2009070300,29,2.96,-2.43,3.83,129.37
2009070300,30,2.7,-1.94,3.33,125.75
2009070300,31,2.51,-1.65,3,123.25
2009070300,32,2.41,-1.58,2.88,123.21
2009070300,33,2.4,-1.75,2.97,126.08
2009070300,34,2.5,-2.15,3.3,130.74
2009070300,35,2.71,-2.66,3.8,134.47
2009070300,36,3.04,-3.11,4.35,135.7
2009070300,37,3.47,-3.4,4.86,134.43
2009070300,38,3.88,-3.56,5.26,132.54
2009070300,39,4.12,-3.67,5.52,131.66
2009070300,40,4.1,-3.79,5.59,132.7
2009070300,41,3.9,-3.87,5.49,134.78
2009070300,42,3.63,-3.85,5.29,136.63
2009070300,43,3.4,-3.65,4.99,137.02
2009070300,44,3.19,-3.23,4.54,135.33
2009070300,45,2.95,-2.52,3.88,130.51
2009070300,46,2.65,-1.51,3.05,119.76
2009070300,47,2.34,-0.39,2.37,99.51
2009070300,48,2.1,0.62,2.19,73.64
2009070312,1,4.16,-3.99,5.76,133.78
2009070312,2,4.61,-4.01,6.11,131.03
2009070312,3,5.06,-4.03,6.46,128.54
2009070312,4,5.47,-4.06,6.81,126.58
2009070312,5,5.77,-4.13,7.1,125.61
2009070312,6,5.9,-4.3,7.3,126.08
2009070312,7,5.81,-4.57,7.39,128.19
2009070312,8,5.59,-4.86,7.41,130.96
2009070312,9,5.38,-5.04,7.37,133.13
2009070312,10,5.26,-5.04,7.28,133.77
2009070312,11,5.18,-4.88,7.11,133.28
2009070312,12,5.04,-4.6,6.82,132.42
2009070312,13,4.78,-4.27,6.41,131.79
2009070312,14,4.43,-3.9,5.9,131.36
2009070312,15,4.05,-3.51,5.37,130.91
2009070312,16,3.7,-3.13,4.84,130.2
2009070312,17,3.34,-2.74,4.32,129.37
2009070312,18,2.94,-2.36,3.77,128.72
2009070312,19,2.5,-1.99,3.2,128.49
2009070312,20,2.18,-1.71,2.77,128.01
2009070312,21,2.19,-1.59,2.7,126.08
2009070312,22,2.62,-1.71,3.13,123.09
2009070312,23,3.25,-2.01,3.82,121.73
2009070312,24,3.74,-2.43,4.46,122.95
2009070312,25,3.86,-2.88,4.82,126.69
2009070312,26,3.75,-3.26,4.97,130.99
2009070312,27,3.65,-3.46,5.03,133.44
2009070312,28,3.74,-3.41,5.07,132.36
2009070312,29,3.91,-3.22,5.06,129.45
2009070312,30,3.97,-3.01,4.98,127.21
2009070312,31,3.78,-2.89,4.76,127.35
2009070312,32,3.41,-2.72,4.36,128.59
2009070312,33,2.92,-2.32,3.73,128.48
2009070312,34,2.41,-1.58,2.88,123.24
2009070312,35,1.98,-0.66,2.09,108.48
2009070312,36,1.72,0.21,1.73,83.08
2009070312,37,1.69,0.85,1.89,63.12
2009070312,38,1.81,1.3,2.23,54.25
2009070312,39,1.97,1.62,2.56,50.57
2009070312,40,2.1,1.88,2.82,48.11
2009070312,41,2.18,2.08,3.01,46.29
2009070312,42,2.22,2.2,3.13,45.21
2009070312,43,2.23,2.24,3.16,44.85
2009070312,44,2.19,2.24,3.13,44.36
2009070312,45,2.07,2.25,3.06,42.66
2009070312,46,1.87,2.29,2.96,39.27
2009070312,47,1.69,2.27,2.83,36.6
2009070312,48,1.62,2.05,2.62,38.33
2009070400,1,4.26,-3.86,5.75,132.2
2009070400,2,4.06,-3.55,5.4,131.19
2009070400,3,3.87,-3.29,5.08,130.38
2009070400,4,3.68,-3.07,4.79,129.8
2009070400,5,3.44,-2.85,4.47,129.58
2009070400,6,3.1,-2.6,4.04,129.91
2009070400,7,2.65,-2.3,3.51,130.99
2009070400,8,2.28,-2.08,3.09,132.33
2009070400,9,2.24,-2.05,3.04,132.55
2009070400,10,2.66,-2.3,3.52,130.89
2009070400,11,3.31,-2.68,4.26,128.94
2009070400,12,3.86,-2.96,4.87,127.52
2009070400,13,4.05,-3,5.04,126.57
2009070400,14,4,-2.86,4.91,125.56
2009070400,15,3.91,-2.64,4.72,124.03
2009070400,16,3.94,-2.44,4.64,121.69
2009070400,17,4.04,-2.18,4.6,118.36
2009070400,18,4.1,-1.79,4.48,113.62
2009070400,19,4.03,-1.23,4.21,106.99
2009070400,20,3.75,-0.66,3.81,100.04
2009070400,21,3.22,-0.32,3.24,95.72
2009070400,22,2.44,-0.34,2.47,98.02
2009070400,23,1.61,-0.5,1.69,107.34
2009070400,24,0.97,-0.49,1.09,116.56
2009070400,25,0.71,-0.06,0.71,94.99
2009070400,26,0.76,0.66,1.01,48.93
2009070400,27,1.01,1.5,1.81,33.81
2009070400,28,1.33,2.24,2.61,30.75
2009070400,29,1.68,2.55,3.06,33.38
2009070400,30,2.01,2.09,2.9,43.83
2009070400,31,2.26,0.69,2.37,73.04
2009070400,32,2.44,-1.05,2.65,113.22
2009070400,33,2.51,-2.32,3.42,132.77
2009070400,34,2.5,-2.58,3.59,135.93
2009070400,35,2.45,-2.13,3.25,131.05
2009070400,36,2.46,-1.54,2.9,122.14
2009070400,37,2.58,-1.24,2.87,115.75
2009070400,38,2.8,-1.2,3.05,113.28
2009070400,39,3.07,-1.28,3.33,112.54
2009070400,40,3.36,-1.31,3.61,111.37
2009070400,41,3.56,-1.18,3.75,108.36
2009070400,42,3.59,-0.74,3.66,101.74
2009070400,43,3.38,0.04,3.38,89.37
2009070400,44,3.12,0.82,3.23,75.24
2009070400,45,3.03,1.17,3.25,68.8
2009070400,46,3.22,0.83,3.33,75.48
2009070400,47,3.41,0.26,3.42,85.7
2009070400,48,3.19,0.07,3.19,88.66
2009070412,1,3.34,-4.19,5.36,141.49
2009070412,2,3.54,-3.9,5.26,137.77
2009070412,3,3.75,-3.48,5.12,132.91
2009070412,4,3.94,-3.01,4.96,127.33
2009070412,5,4.1,-2.55,4.83,121.9
2009070412,6,4.2,-2.22,4.76,117.85
2009070412,7,4.22,-2.06,4.7,116
2009070412,8,4.09,-1.92,4.52,115.09
2009070412,9,3.73,-1.59,4.05,113.02
2009070412,10,3.11,-0.94,3.25,106.86
2009070412,11,2.37,-0.17,2.37,94.21
2009070412,12,1.69,0.45,1.75,74.96
2009070412,13,1.23,0.76,1.45,58.5
2009070412,14,1.02,0.86,1.33,49.89
2009070412,15,1.03,0.96,1.41,46.91
2009070412,16,1.24,1.23,1.74,45.3
2009070412,17,1.54,1.58,2.21,44.13
2009070412,18,1.79,1.92,2.62,43.04
2009070412,19,1.9,2.14,2.86,41.62
2009070412,20,1.84,2.23,2.89,39.46
2009070412,21,1.6,2.21,2.73,35.96
2009070412,22,1.24,2.09,2.43,30.65
2009070412,23,0.89,1.84,2.05,25.85
2009070412,24,0.76,1.46,1.64,27.67
2009070412,25,0.98,0.92,1.35,46.79
2009070412,26,1.46,0.32,1.49,77.6
2009070412,27,2.04,-0.26,2.06,97.21
2009070412,28,2.59,-0.73,2.69,105.71
2009070412,29,3.02,-1.04,3.19,109.1
2009070412,30,3.23,-1.16,3.43,109.84
2009070412,31,3.16,-1.08,3.34,108.87
2009070412,32,2.87,-0.92,3.01,107.72
2009070412,33,2.41,-0.82,2.55,108.88
2009070412,34,1.86,-0.89,2.06,115.52
2009070412,35,1.32,-0.92,1.61,124.91
2009070412,36,0.9,-0.67,1.12,126.58
2009070412,37,0.7,0.02,0.7,88.14
2009070412,38,0.71,0.92,1.16,37.63
2009070412,39,0.93,1.69,1.93,28.9
2009070412,40,1.35,2.06,2.46,33.19
2009070412,41,1.88,1.97,2.73,43.59
2009070412,42,2.46,1.46,2.86,59.38
2009070412,43,2.97,0.58,3.03,78.97
2009070412,44,3.17,-0.32,3.18,95.8
2009070412,45,2.75,-0.85,2.87,107.16
2009070412,46,1.6,-0.76,1.77,115.43
2009070412,47,0.27,-0.44,0.51,148.84
2009070412,48,-0.52,-0.43,0.68,230.21
2009070500,1,2.49,0.96,2.67,68.86
2009070500,2,2.33,1.33,2.68,60.21
2009070500,3,2.31,1.57,2.8,55.79
2009070500,4,2.4,1.72,2.95,54.46
2009070500,5,2.55,1.79,3.12,54.87
2009070500,6,2.71,1.84,3.27,55.85
2009070500,7,2.82,1.87,3.39,56.45
2009070500,8,2.8,1.91,3.39,55.73
2009070500,9,2.54,1.95,3.2,52.48
2009070500,10,1.99,1.97,2.8,45.34
2009070500,11,1.43,1.86,2.34,37.54
2009070500,12,1.19,1.49,1.91,38.49
2009070500,13,1.49,0.82,1.7,61.2
2009070500,14,2.1,0.07,2.1,87.96
2009070500,15,2.64,-0.43,2.67,99.33
2009070500,16,2.86,-0.48,2.9,99.62
2009070500,17,2.93,-0.24,2.94,94.6
2009070500,18,3.13,0.06,3.13,88.83
2009070500,19,3.62,0.22,3.63,86.45
2009070500,20,4.17,0.3,4.18,85.83
2009070500,21,4.41,0.42,4.43,84.58
2009070500,22,4.1,0.65,4.15,80.94
2009070500,23,3.47,0.97,3.6,74.37
2009070500,24,2.86,1.3,3.14,65.59
2009070500,25,2.51,1.53,2.94,58.58
2009070500,26,2.32,1.47,2.75,57.59
2009070500,27,2.12,0.9,2.3,66.99
2009070500,28,1.76,-0.26,1.78,98.51
2009070500,29,1.35,-1.46,1.99,137.13
2009070500,30,1.04,-1.96,2.22,152.1
2009070500,31,0.93,-1.35,1.64,145.59
2009070500,32,0.95,-0.42,1.04,113.74
2009070500,33,0.99,-0.23,1.02,103.12
2009070500,34,0.98,-1.5,1.79,146.68
2009070500,35,1.05,-3.42,3.58,162.93
2009070500,36,1.36,-4.83,5.02,164.25
2009070500,37,2.03,-4.9,5.3,157.48
2009070500,38,2.91,-4.1,5.03,144.6
2009070500,39,3.81,-3.25,5.01,130.51
2009070500,40,4.54,-2.99,5.43,123.39
2009070500,41,5.01,-3.19,5.94,122.47
2009070500,42,5.18,-3.55,6.27,124.4
2009070500,43,5.01,-3.8,6.29,127.2
2009070500,44,4.66,-3.91,6.08,130.01
2009070500,45,4.32,-3.87,5.8,131.85
2009070500,46,4.15,-3.7,5.56,131.75
2009070500,47,4.06,-3.44,5.32,130.26
2009070500,48,3.9,-3.1,4.99,128.46
2009070512,1,1.71,0.76,1.87,66.01
2009070512,2,2.25,0.24,2.26,84.01
2009070512,3,2.62,-0.11,2.63,92.33
2009070512,4,2.88,-0.29,2.9,95.69
2009070512,5,3.11,-0.32,3.13,95.84
2009070512,6,3.4,-0.21,3.4,93.58
2009070512,7,3.8,0.01,3.8,89.84
2009070512,8,4.16,0.31,4.17,85.71
2009070512,9,4.3,0.64,4.35,81.48
2009070512,10,4.1,0.94,4.2,77.13
2009070512,11,3.71,1.03,3.85,74.55
2009070512,12,3.37,0.72,3.45,77.89
2009070512,13,3.21,-0.05,3.21,90.95
2009070512,14,3.02,-0.97,3.17,107.8
2009070512,15,2.47,-1.58,2.93,122.68
2009070512,16,1.4,-1.57,2.1,138.37
2009070512,17,0.22,-1.05,1.08,168.46
2009070512,18,-0.52,-0.26,0.58,243.38
2009070512,19,-0.42,0.57,0.71,323.38
2009070512,20,0.21,1.15,1.17,10.33
2009070512,21,0.9,1.22,1.52,36.44
2009070512,22,1.29,0.6,1.42,65.15
2009070512,23,1.4,-0.47,1.47,108.78
2009070512,24,1.37,-1.63,2.13,139.84
2009070512,25,1.36,-2.57,2.91,152.15
2009070512,26,1.49,-3.27,3.6,155.52
2009070512,27,1.91,-3.78,4.24,153.15
2009070512,28,2.68,-4.11,4.91,146.93
2009070512,29,3.49,-4.27,5.51,140.78
2009070512,30,3.94,-4.23,5.78,137.03
2009070512,31,3.79,-4.01,5.51,136.65
2009070512,32,3.28,-3.77,5,138.91
2009070512,33,2.83,-3.69,4.65,142.51
2009070512,34,2.71,-3.88,4.73,145.05
2009070512,35,2.8,-4.1,4.96,145.63
2009070512,36,2.87,-4.01,4.93,144.42
2009070512,37,2.74,-3.4,4.37,141.1
2009070512,38,2.55,-2.53,3.59,134.74
2009070512,39,2.48,-1.77,3.05,125.49
2009070512,40,2.66,-1.41,3.01,117.87
2009070512,41,2.95,-1.35,3.24,114.57
2009070512,42,3.15,-1.41,3.45,114.13
2009070512,43,3.12,-1.44,3.44,114.77
2009070512,44,3.09,-1.45,3.41,115.21
2009070512,45,3.34,-1.5,3.66,114.21
2009070512,46,4.06,-1.63,4.38,111.86
2009070512,47,5.01,-1.86,5.34,110.38
2009070512,48,5.83,-2.21,6.23,110.79
2009070600,1,4.01,-1.26,4.2,107.46
2009070600,2,3.24,-1.76,3.69,118.44
2009070600,3,2.23,-2,2.99,131.84
2009070600,4,1.14,-2,2.3,150.24
2009070600,5,0.25,-1.71,1.73,171.57
2009070600,6,-0.14,-1.07,1.08,187.68
2009070600,7,0.13,-0.11,0.17,129.16
2009070600,8,0.83,0.82,1.17,45.32
2009070600,9,1.6,1.24,2.02,52.28
2009070600,10,2.16,0.83,2.31,68.91
2009070600,11,2.5,-0.11,2.51,92.43
2009070600,12,2.71,-1.14,2.94,112.74
2009070600,13,2.86,-1.9,3.43,123.68
2009070600,14,2.98,-2.37,3.81,128.52
2009070600,15,3.14,-2.6,4.08,129.62
2009070600,16,3.35,-2.65,4.27,128.38
2009070600,17,3.49,-2.67,4.4,127.39
2009070600,18,3.44,-2.82,4.45,129.31
2009070600,19,3.11,-3.21,4.47,135.88
2009070600,20,2.6,-3.72,4.54,145.05
2009070600,21,2.06,-4.18,4.66,153.76
2009070600,22,1.63,-4.44,4.73,159.85
2009070600,23,1.35,-4.41,4.61,162.99
2009070600,24,1.24,-4,4.19,162.81
2009070600,25,1.31,-3.21,3.47,157.8
2009070600,26,1.54,-2.3,2.77,146.15
2009070600,27,1.89,-1.57,2.46,129.7
2009070600,28,2.32,-1.26,2.64,118.52
2009070600,29,2.77,-1.25,3.04,114.31
2009070600,30,3.2,-1.35,3.47,112.79
2009070600,31,3.56,-1.39,3.82,111.24
2009070600,32,3.85,-1.42,4.11,110.18
2009070600,33,4.09,-1.54,4.37,110.61
2009070600,34,4.29,-1.82,4.66,113
2009070600,35,4.49,-2.24,5.02,116.54
2009070600,36,4.75,-2.76,5.5,120.18
2009070600,37,5.1,-3.32,6.08,123.08
2009070600,38,5.48,-3.8,6.67,124.77
2009070600,39,5.82,-4.08,7.11,125.04
2009070600,40,6.07,-4.07,7.31,123.87
2009070600,41,6.22,-3.87,7.33,121.93
2009070600,42,6.28,-3.63,7.26,120
2009070600,43,6.28,-3.45,7.16,118.77
2009070600,44,6.2,-3.32,7.03,118.2
2009070600,45,6.05,-3.22,6.86,118.04
2009070600,46,5.85,-3.13,6.63,118.1
2009070600,47,5.63,-3.04,6.39,118.38
2009070600,48,5.41,-2.99,6.18,118.92
2009070612,1,2.57,-2.03,3.27,128.26
2009070612,2,2.8,-2.2,3.56,128.1
2009070612,3,3.2,-2.07,3.81,122.87
2009070612,4,3.64,-1.79,4.06,116.13
2009070612,5,3.95,-1.58,4.25,111.75
2009070612,6,3.92,-1.67,4.26,113.1
2009070612,7,3.42,-2.22,4.08,122.94
2009070612,8,2.66,-3.01,4.02,138.46
2009070612,9,1.92,-3.74,4.2,152.8
2009070612,10,1.42,-4.16,4.39,161.18
2009070612,11,1.16,-4.19,4.35,164.6
2009070612,12,1.09,-3.83,3.98,164.15
2009070612,13,1.17,-3.1,3.31,159.36
2009070612,14,1.37,-2.28,2.66,149.01
2009070612,15,1.67,-1.71,2.39,135.64
2009070612,16,2.05,-1.62,2.61,128.3
2009070612,17,2.46,-1.82,3.06,126.4
2009070612,18,2.87,-2,3.5,124.89
2009070612,19,3.23,-1.96,3.78,121.21
2009070612,20,3.56,-1.81,3.99,116.97
2009070612,21,3.87,-1.77,4.26,114.58
2009070612,22,4.19,-2,4.64,115.46
2009070612,23,4.5,-2.41,5.11,118.18
2009070612,24,4.81,-2.91,5.62,121.16
2009070612,25,5.09,-3.36,6.1,123.44
2009070612,26,5.31,-3.68,6.46,124.7
2009070612,27,5.44,-3.77,6.62,124.73
2009070612,28,5.46,-3.6,6.55,123.4
2009070612,29,5.45,-3.32,6.38,121.32
2009070612,30,5.49,-3.1,6.31,119.45
2009070612,31,5.64,-3.09,6.43,118.69
2009070612,32,5.76,-3.13,6.55,118.49
2009070612,33,5.69,-3.02,6.44,117.98
2009070612,34,5.31,-2.63,5.92,116.34
2009070612,35,4.79,-2.09,5.22,113.55
2009070612,36,4.34,-1.6,4.62,110.2
2009070612,37,4.12,-1.31,4.33,107.68
2009070612,38,4.05,-1.21,4.22,106.6
2009070612,39,3.96,-1.2,4.14,106.8
2009070612,40,3.75,-1.21,3.94,107.95
2009070612,41,3.43,-1.23,3.65,109.77
2009070612,42,3.08,-1.24,3.32,111.96
2009070612,43,2.73,-1.23,3,114.32
2009070612,44,2.44,-1.3,2.77,117.98
2009070612,45,2.25,-1.53,2.72,124.21
2009070612,46,2.16,-1.98,2.93,132.49
2009070612,47,2.11,-2.53,3.3,140.19
2009070612,48,1.99,-3.02,3.62,146.54
2009070700,1,1.28,-2.79,3.07,155.35
2009070700,2,1.28,-2.11,2.47,148.8
2009070700,3,1.53,-1.82,2.38,139.93
2009070700,4,1.97,-1.81,2.68,132.59
2009070700,5,2.51,-1.94,3.17,127.6
2009070700,6,3.07,-2.04,3.69,123.51
2009070700,7,3.58,-2,4.1,119.21
2009070700,8,4.02,-1.91,4.45,115.45
2009070700,9,4.39,-1.89,4.78,113.3
2009070700,10,4.69,-2.03,5.1,113.39
